;counts1;time1;counts2;time2;measurement time [s];rate Cosmic [Hz];rate PIN [Hz]
0;1.0;10.369;1.0;13.912;3673.0;0.058807514293493054;0.04219983664579363
1;2.0;13.644;2.0;48.713;;;
2;3.0;15.995;3.0;117.032;;;
3;4.0;19.778;4.0;127.391;;;
4;5.0;21.357;5.0;137.101;;;
5;6.0;22.68;6.0;140.014;;;
6;7.0;23.972;7.0;140.032;;;
7;8.0;31.938;8.0;165.733;;;
8;9.0;39.713;9.0;188.553;;;
9;10.0;44.872;10.0;203.437;;;
10;11.0;50.415;11.0;232.5;;;
11;12.0;56.636;12.0;249.125;;;
12;13.0;58.986;13.0;302.858;;;
13;14.0;61.888;14.0;311.32;;;
14;15.0;63.734;15.0;339.856;;;
15;16.0;78.778;16.0;344.357;;;
16;17.0;86.39;17.0;356.985;;;
17;18.0;91.476;18.0;357.681;;;
18;19.0;113.514;19.0;362.335;;;
19;20.0;113.738;20.0;404.733;;;
20;21.0;121.458;21.0;441.568;;;
21;22.0;123.874;22.0;468.504;;;
22;23.0;125.392;23.0;480.39;;;
23;24.0;127.583;24.0;519.931;;;
24;25.0;127.939;25.0;559.336;;;
25;26.0;133.587;26.0;632.615;;;
26;27.0;135.814;27.0;648.696;;;
27;28.0;136.5;28.0;670.08;;;
28;29.0;138.709;29.0;754.857;;;
29;30.0;156.261;30.0;769.811;;;
30;31.0;162.521;31.0;777.524;;;
31;32.0;163.875;32.0;854.897;;;
32;33.0;170.344;33.0;873.141;;;
33;34.0;177.625;34.0;875.878;;;
34;35.0;181.879;35.0;888.878;;;
35;36.0;189.322;36.0;914.148;;;
36;37.0;197.619;37.0;970.952;;;
37;38.0;199.916;38.0;1020.379;;;
38;39.0;199.937;39.0;1040.9399;;;
39;40.0;207.952;40.0;1070.8509;;;
40;41.0;208.387;41.0;1075.2989;;;
41;42.0;219.574;42.0;1100.545;;;
42;43.0;233.448;43.0;1115.062;;;
43;44.0;235.781;44.0;1144.38;;;
44;45.0;249.908;45.0;1147.258;;;
45;46.0;253.592;46.0;1161.326;;;
46;47.0;253.692;142.0;3343.027;;;
