"""
Some output from CosmicWatch1 captured in the Gemlab
"""
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
1 0.9130 30 11.83 374 26.05
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
1 17.9920 327 59.28 3553 26.05
2 38.6370 263 45.37 7400 26.05
3 65.7840 49 15.48 12346 26.05
4 76.9280 327 59.28 14353 26.27
5 100.5180 487 132.65 18750 26.05
6 115.2050 153 26.90 21545 25.63
7 124.7570 176 30.09 23197 25.63
8 128.6750 44 14.51 23934 24.44
9 160.5460 391 82.35 29763 26.05
10 166.3480 359 69.86 30872 26.27
11 170.6190 140 25.42 31613 26.05
12 190.1980 60 17.43 35278 25.73
13 201.2910 41 13.92 37292 26.05
14 206.8930 35 12.75 38212 26.05
15 212.6700 192 32.67 39315 25.63
16 229.2290 446 111.64 42431 26.05
17 231.3150 35 12.75 42806 25.52
18 234.7190 48 15.29 43360 26.05
19 258.8570 31 12.01 47755 25.95
20 268.2330 35 12.75 49590 25.73
21 271.4310 88 20.96 50144 26.05
22 279.9170 38 13.33 51613 25.52
23 297.3590 63 17.91 54912 25.52
24 336.4110 248 42.69 62054 26.05
25 343.8180 414 93.93 63340 26.05
26 343.9960 207 35.26 63345 26.05
27 360.7570 371 73.82 66463 26.05
28 389.3750 88 20.96 71804 26.27
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
1 12.8910 60 17.43 2618 26.05
2 13.4750 71 19.06 2805 26.05
3 14.3150 108 22.63 2992 26.05
4 41.4880 398 85.63 7925 26.05
5 52.3220 92 21.32 9954 26.05
6 57.4480 33 12.37 10872 26.27
7 73.9400 33 12.37 13789 26.05
8 74.6050 81 20.25 13976 26.05
9 77.4470 31 12.01 14527 26.05
10 108.5780 67 18.51 20174 26.05
11 123.2840 120 23.58 22918 26.27
12 133.4490 423 97.36 24753 26.05
13 135.6410 79 20.03 25128 26.05
14 135.9920 115 23.18 25133 26.05
15 138.4490 169 29.05 25687 26.27
16 161.7320 177 30.25 29901 26.05
17 174.6330 140 25.42 32285 26.05
18 178.2450 28 11.49 33022 26.05
19 207.6740 39 13.53 38321 26.05
20 208.8460 56 16.76 38508 25.73
21 216.2140 352 66.89 39977 26.05
22 217.6130 41 13.92 40166 25.52
23 225.3950 408 90.57 41634 26.05
24 229.9260 35 12.75 42379 26.05
25 241.8000 71 19.06 44579 25.52
26 256.2260 40 13.73 47327 25.41
27 258.7650 135 24.92 47697 26.05
28 272.3150 49 15.48 50264 26.27
29 280.2340 295 51.75 51733 24.87
30 284.2100 108 22.63 52474 25.52
31 289.5660 88 20.96 53394 25.52
32 297.4930 99 21.91 54863 26.05
33 315.6460 39 13.53 58162 26.27
34 364.7470 364 71.71 67123 25.52
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
1 47.3110 30 11.83 9163 26.05
2 47.5000 30 11.83 9168 26.05
3 52.8200 177 30.25 10083 26.05
4 89.4430 48 15.29 16859 26.05
5 93.7350 39 13.53 17592 26.05
6 112.7470 380 78.12 21055 26.05
7 120.4840 48 15.29 22532 26.05
8 122.3970 33 12.37 22901 26.05
9 132.1790 35 12.75 24726 26.05
10 136.4220 28 11.49 25459 26.27
11 140.9880 529 156.43 26196 26.05
12 156.7050 263 45.37 29176 26.27
13 174.6180 140 25.42 32481 26.48
14 188.5600 46 14.91 35048 26.27
15 194.2390 28 11.49 36151 26.05
16 197.7080 199 33.86 36705 26.05
17 219.5820 440 109.25 40736 26.05
18 221.4100 35 12.75 41111 26.05
19 237.2780 295 51.75 44044 26.48
20 259.7300 286 49.78 48097 26.05
